model,jump_penalty,test_start,test_end,observations,annualized_return,annualized_volatility,sharpe,maximum_drawdown,annualized_turnover,equity_exposure,allocation_changes
buy_and_hold,,2014-12-04,2022-07-29,1926,0.115261,0.185228,0.637558,-0.337905,0.0,1.0,0
combined,0.0,2014-12-04,2022-07-29,1926,0.051072,0.1109,0.43045,-0.158313,7.392523,0.770509,113
combined,5.0,2014-12-04,2022-07-29,1926,0.057421,0.117679,0.463466,-0.194561,1.766355,0.7892,27
combined,15.0,2014-12-04,2022-07-29,1926,0.059297,0.123756,0.460932,-0.242557,1.242991,0.810488,19
combined,35.0,2014-12-04,2022-07-29,1926,0.05462,0.136471,0.397798,-0.237081,0.719626,0.852544,11
combined,70.0,2014-12-04,2022-07-29,1926,0.071772,0.146063,0.491403,-0.266392,0.588785,0.859294,9
combined,150.0,2014-12-04,2022-07-29,1926,0.072832,0.168785,0.452801,-0.294091,0.130841,0.957425,2
price_only,0.0,2014-12-04,2022-07-29,1926,0.013428,0.094081,0.1013,-0.273808,7.130841,0.668744,109
price_only,5.0,2014-12-04,2022-07-29,1926,0.027111,0.106952,0.226706,-0.178766,2.28972,0.707684,35
price_only,15.0,2014-12-04,2022-07-29,1926,0.074761,0.113144,0.621078,-0.212473,0.981308,0.752336,15
price_only,35.0,2014-12-04,2022-07-29,1926,0.06549,0.123791,0.507999,-0.214307,0.719626,0.771028,11
price_only,70.0,2014-12-04,2022-07-29,1926,0.061332,0.140503,0.435507,-0.266392,0.588785,0.818276,9
price_only,150.0,2014-12-04,2022-07-29,1926,0.055724,0.169461,0.356809,-0.364323,0.130841,0.94756,2
price_plus_attention,0.0,2014-12-04,2022-07-29,1926,0.012604,0.09382,0.092654,-0.276207,7.392523,0.668224,113
price_plus_attention,5.0,2014-12-04,2022-07-29,1926,0.03019,0.106844,0.254846,-0.178766,2.28972,0.707684,35
price_plus_attention,15.0,2014-12-04,2022-07-29,1926,0.070953,0.113159,0.589634,-0.20995,0.981308,0.753375,15
price_plus_attention,35.0,2014-12-04,2022-07-29,1926,0.060289,0.123374,0.469628,-0.209168,0.719626,0.761682,11
price_plus_attention,70.0,2014-12-04,2022-07-29,1926,0.065569,0.140215,0.464531,-0.266392,0.588785,0.81568,9
price_plus_attention,150.0,2014-12-04,2022-07-29,1926,0.055709,0.169463,0.356726,-0.36439,0.130841,0.948079,2
price_plus_level,0.0,2014-12-04,2022-07-29,1926,0.051628,0.109743,0.438637,-0.149213,7.785047,0.76947,119
price_plus_level,5.0,2014-12-04,2022-07-29,1926,0.061255,0.112161,0.512861,-0.18364,1.504673,0.762721,23
price_plus_level,15.0,2014-12-04,2022-07-29,1926,0.074897,0.121525,0.587402,-0.201696,1.373832,0.820353,21
price_plus_level,35.0,2014-12-04,2022-07-29,1926,0.063448,0.134437,0.463787,-0.237081,0.719626,0.843198,11
price_plus_level,70.0,2014-12-04,2022-07-29,1926,0.066704,0.154391,0.442815,-0.294792,0.457944,0.894081,7
price_plus_level,150.0,2014-12-04,2022-07-29,1926,0.058722,0.168308,0.374953,-0.318609,0.196262,0.946521,3
price_plus_momentum,0.0,2014-12-04,2022-07-29,1926,0.021739,0.099213,0.183432,-0.185792,6.084112,0.69107,93
price_plus_momentum,5.0,2014-12-04,2022-07-29,1926,0.057899,0.106985,0.502744,-0.173785,1.897196,0.7108,29
price_plus_momentum,15.0,2014-12-04,2022-07-29,1926,0.081073,0.113059,0.673312,-0.153013,1.11215,0.735202,17
price_plus_momentum,35.0,2014-12-04,2022-07-29,1926,0.081327,0.120489,0.640891,-0.16326,0.850467,0.764798,13
price_plus_momentum,70.0,2014-12-04,2022-07-29,1926,0.051533,0.137425,0.374896,-0.293097,0.588785,0.820353,9
price_plus_momentum,150.0,2014-12-04,2022-07-29,1926,0.055973,0.169112,0.358587,-0.331479,0.261682,0.942368,4
sentiment_only,0.0,2014-12-04,2022-07-29,1926,0.0393,0.129713,0.298696,-0.1996,16.943925,0.793354,259
sentiment_only,5.0,2014-12-04,2022-07-29,1926,0.056455,0.136024,0.411305,-0.193635,1.766355,0.828141,27
sentiment_only,15.0,2014-12-04,2022-07-29,1926,0.049996,0.15526,0.339292,-0.295941,1.046729,0.903427,16
sentiment_only,35.0,2014-12-04,2022-07-29,1926,0.059224,0.171697,0.373718,-0.362565,0.261682,0.954309,4
sentiment_only,70.0,2014-12-04,2022-07-29,1926,0.084278,0.177642,0.498428,-0.337905,0.130841,0.972482,2
sentiment_only,150.0,2014-12-04,2022-07-29,1926,0.115261,0.185228,0.637558,-0.337905,0.0,1.0,0
